source,target,relation,status,evidence
safe_recovery_adapter,relationship_memory_store,writes_reads_profile,EVIDENCED,"source_mentions_target"
safe_recovery_adapter,long_term_goal_tracker,writes_goal_shadow,EVIDENCED,"source_mentions_target"
relationship_memory_store,long_term_goal_tracker,feeds_goals,EXPECTED_NOT_WIRED,""
relationship_memory_store,digital_twin_real,feeds_profile,EXPECTED_NOT_WIRED,""
long_term_goal_tracker,digital_twin_real,feeds_goal_objects,EXPECTED_NOT_WIRED,""
digital_twin_real,long_term_memory_real,feeds_stable_profile,EVIDENCED,"target_mentions_source"
behavior_modeling,digital_twin_real,feeds_behavior_signals,EXPECTED_NOT_WIRED,""
emotional_continuity_real,self_reflection_engine,feeds_emotional_state,EVIDENCED,"target_mentions_source"
long_term_memory_real,self_reflection_engine,feeds_memory_quality,EVIDENCED,"target_mentions_source"
self_reflection_engine,live_cognition_gated,feeds_readiness,MISSING_NODE,""
digital_twin_real,live_cognition_gated,required_layer,MISSING_NODE,""
behavior_modeling,live_cognition_gated,required_layer,MISSING_NODE,""
emotional_continuity_real,live_cognition_gated,required_layer,MISSING_NODE,""
long_term_memory_real,live_cognition_gated,required_layer,MISSING_NODE,""
live_cognition_gated,safe_recovery_adapter,should_be_attached,MISSING_NODE,""
safe_recovery_adapter,whatsapp_runtime,runtime_context_candidate,EXPECTED_NOT_WIRED,""
safe_recovery_adapter,cognitive_pipeline,runtime_context_candidate,EXPECTED_NOT_WIRED,""
