"trade_id","edge_id","symbol","timeframe","pnl","loss_reason","what_was_not_analyzed","lesson_learned"
"USDCAD_H1_EMA_CROSS_21,55_163_180","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00345","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_528_548","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00089","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_642_654","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00149","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_654_659","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00073","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_659_664","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00074","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_664_665","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00071","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_665_669","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00089","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_669_682","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.0009","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_682_685","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00106","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_685_694","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00142","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_694_707","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00568","sinal oposto invalidou a tese antes do alvo","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_855_887","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00329","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_887_902","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00336","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_902_966","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00077","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_966_977","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.0033","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_977_1064","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00072","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_1312_1378","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00319","sinal oposto invalidou a tese antes do alvo","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_1378_1404","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00523","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_1876_1950","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00148","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_2808_2813","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00328","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_2813_2816","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00266","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_2970_2987","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00334","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_2987_3034","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00042","movimento insuficiente frente ao ATR; cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_3034_3101","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00215","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_3101_3146","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00358","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_3177_3184","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00118","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_3622_3644","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00262","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_3804_3817","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00524","sinal oposto invalidou a tese antes do alvo","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_3998_4043","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00059","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_4043_4082","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.0002","movimento insuficiente frente ao ATR; cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_4082_4129","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.006","sinal oposto invalidou a tese antes do alvo","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_4129_4185","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00125","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_4185_4212","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00267","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_4212_4228","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00407","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_4614_4654","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00475","sinal oposto invalidou a tese antes do alvo","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_21,55_4825_4833","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","-0.00171","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_50_52","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-85.32","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_52_81","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-21.54","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_81_97","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-35.0","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_163_207","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-0.18","movimento insuficiente frente ao ATR","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_207_258","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-42.69","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_258_272","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-64.61","sinal oposto invalidou a tese antes do alvo","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_272_297","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-29.8","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_324_343","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-26.43","sinal oposto invalidou a tese antes do alvo","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_343_369","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-10.53","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_369_374","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-24.73","sinal oposto invalidou a tese antes do alvo","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_503_511","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-48.0","sinal oposto invalidou a tese antes do alvo","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_636_655","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-58.35","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_744_757","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-20.07","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_757_778","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-5.79","movimento insuficiente frente ao ATR; cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_778_781","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-23.34","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_781_811","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-30.69","sinal oposto invalidou a tese antes do alvo","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_879_883","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-22.65","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_883_893","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-43.51","sinal oposto invalidou a tese antes do alvo","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_893_903","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-37.27","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_977_984","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-43.64","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_984_985","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-39.35","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_985_993","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-34.81","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_1088_1107","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-119.16","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_1107_1113","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-108.5","sinal oposto invalidou a tese antes do alvo","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_1113_1127","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-84.86","sinal oposto invalidou a tese antes do alvo","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_1270_1273","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-98.74","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_1273_1284","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-59.72","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"XAUUSD_D1_EMA_CROSS_9,34_1284_1287","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","-52.24","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_13,55_161_180","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","-0.00358","sinal oposto invalidou a tese antes do alvo","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_13,55_180_232","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","-0.00028","movimento insuficiente frente ao ATR; cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_13,55_337_377","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","-0.00153","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
"USDCAD_H1_EMA_CROSS_13,55_377_384","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","-0.0025","cruzamento fraco sem distância suficiente entre médias","notícia, spread real, liquidez intrabar, alinhamento multi-timeframe, sessão","exigir confirmação adicional: distância mínima entre médias, filtro de volatilidade e/ou alinhamento multi-timeframe"
