"Status","Path","Category"
"D","_apply_context_only.py","TEMP_PATCH_BACKUP"
"D","_apply_context_rescue_verified.py","TEMP_PATCH_BACKUP"
"D","_apply_final_guard.py","TEMP_PATCH_BACKUP"
"D","_apply_final_rescue_patch.py","TEMP_PATCH_BACKUP"
"M","_evidence/CANARY_RUNTIME_LEDGER.jsonl","EVIDENCE"
"M","_evidence/runtime_real_hop_trace/events.jsonl","EVIDENCE"
"D","_fix11k_authority_lock.py","TEMP_PATCH_BACKUP"
"D","_fix11k_baseline_trace.py","TEMP_PATCH_BACKUP"
"D","_fix11k_c_patch.py","TEMP_PATCH_BACKUP"
"D","_fix11k_clean_rebuild.py","TEMP_PATCH_BACKUP"
"D","_fix11k_cleanup.py","TEMP_PATCH_BACKUP"
"D","_fix11k_context_intent.py","TEMP_PATCH_BACKUP"
"D","_fix11k_context_rescue_v2.py","TEMP_PATCH_BACKUP"
"D","_fix11k_d_inprocess_trace.py","TEMP_PATCH_BACKUP"
"D","_fix11k_dispatch_rescue.py","TEMP_PATCH_BACKUP"
"D","_fix11k_dispatch_rescue_final.py","TEMP_PATCH_BACKUP"
"D","_fix11k_hard_bypass.py","TEMP_PATCH_BACKUP"
"D","_fix11k_intent_rescue.py","TEMP_PATCH_BACKUP"
"D","_fix11k_locate_aca.py","TEMP_PATCH_BACKUP"
"D","_fix11k_me_explique.py","TEMP_PATCH_BACKUP"
"D","_fix11k_me_explique_branch.py","TEMP_PATCH_BACKUP"
"D","_fix11k_me_explique_priority.py","TEMP_PATCH_BACKUP"
"D","_fix11k_min_patch.py","TEMP_PATCH_BACKUP"
"D","_fix11k_remove_orphan.py","TEMP_PATCH_BACKUP"
"D","_fix11k_reply_lock.py","TEMP_PATCH_BACKUP"
"D","_fix11k_reply_lock_regex.py","TEMP_PATCH_BACKUP"
"D","_fix11k_route_source.py","TEMP_PATCH_BACKUP"
"D","_fix11k_runtime_error_guard.py","TEMP_PATCH_BACKUP"
"D","_fix11k_runtime_killswitch.py","TEMP_PATCH_BACKUP"
