file,face_ratio,center_score,aspect,bucket
1.png,0.01195,0.372,0.567,BODY_LOCK_V1
10.png,0.02644,0.396,0.567,BODY_LOCK_V1
100.png,0.01858,0.342,0.567,BODY_LOCK_V1
104.png,0.01534,0.381,0.567,BODY_LOCK_V1
107.png,0.01383,0.343,0.567,BODY_LOCK_V1
11.png,0.03286,0.414,0.567,BODY_LOCK_V1
15.png,0.01551,0.337,0.567,BODY_LOCK_V1
19.png,0.05501,0.511,0.567,FACE_LOCK_V1
22.png,0.03673,0.458,0.567,BODY_LOCK_V1
26.png,0.03568,0.486,0.567,BODY_LOCK_V1
3.png,0.02192,0.372,0.567,BODY_LOCK_V1
32.png,0.04512,0.493,0.567,BODY_LOCK_V1
38.png,0.04902,0.483,0.567,BODY_LOCK_V1
41.png,0.03413,0.466,0.567,BODY_LOCK_V1
45.png,0.04541,0.506,0.567,BODY_LOCK_V1
48.png,0.01335,0.372,0.567,BODY_LOCK_V1
5.png,0.02233,0.353,0.567,BODY_LOCK_V1
53.png,0.01992,0.361,0.567,BODY_LOCK_V1
56.png,0.01728,0.366,0.567,BODY_LOCK_V1
6.png,0.02897,0.346,0.567,BODY_LOCK_V1
62.png,0.01568,0.414,0.567,BODY_LOCK_V1
65.png,0.01586,0.352,0.567,BODY_LOCK_V1
68.png,0.02296,0.343,0.567,BODY_LOCK_V1
71.png,0.037,0.427,0.567,BODY_LOCK_V1
75.png,0.02031,0.357,0.567,BODY_LOCK_V1
79.png,0.02213,0.365,0.567,BODY_LOCK_V1
82.png,0.02275,0.409,0.567,BODY_LOCK_V1
86.png,0.02192,0.387,0.567,BODY_LOCK_V1
9.png,0.03286,0.414,0.567,BODY_LOCK_V1
95.png,0.02296,0.409,0.567,BODY_LOCK_V1
a.png,0.01288,0.363,0.567,BODY_LOCK_V1
"ChatGPT Image 26 de mai. de 2026, 12_23_17.png",0.0143,0.297,0.563,BODY_LOCK_V1
"ChatGPT Image 26 de mai. de 2026, 12_31_03.png",0.01318,0.315,0.563,BODY_LOCK_V1
"ChatGPT Image 26 de mai. de 2026, 12_40_49.png",0.01648,0.307,0.563,BODY_LOCK_V1
f.png,0.01915,0.366,0.567,BODY_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (11).png,0.02644,0.655,1.765,LIFESTYLE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (15).png,0.01934,0.629,1.765,BODY_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (19).png,0.02012,0.623,1.765,BODY_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (22).png,0.02051,0.641,1.765,BODY_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (26).png,0.01953,0.645,1.765,BODY_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (3).png,0.02873,0.374,0.567,BODY_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (42).png,0.02897,0.659,1.765,LIFESTYLE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (48).png,0.03016,0.658,1.765,LIFESTYLE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (51).png,0.02131,0.647,1.765,BODY_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (8).png,0.03286,0.419,0.567,BODY_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (10).png,0.02921,0.404,0.567,BODY_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (14).png,0.03137,0.384,0.567,BODY_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (18).png,0.02734,0.431,0.567,BODY_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (21).png,0.02317,0.421,0.567,BODY_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (25).png,0.02644,0.428,0.567,BODY_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (29).png,0.0251,0.395,0.567,BODY_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (32).png,0.02554,0.445,0.567,BODY_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (36).png,0.0304,0.379,0.567,BODY_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (4).png,0.02968,0.348,0.567,BODY_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (5).png,0.02921,0.392,0.567,BODY_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (7).png,0.03311,0.488,0.567,BODY_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref.png,0.03413,0.409,0.567,BODY_LOCK_V1
Gen-4 Turbo - Modify minimally_Keep exact same woman_ same face_ same age_ same hair_ same office_ s.png,0.0278,0.681,0.567,BODY_LOCK_V1
Gen-4 Turbo - Modify uploaded image minimally_Keep exact same woman_ face_ age_ smile_ pose_ lightin.png,0.03064,0.665,0.567,BODY_LOCK_V1
Gen-4 Turbo - Modify uploaded image minimally_Preserve face identity EXACTLY_Do NOT redesign face_Do.png,0.08086,0.414,0.567,FACE_LOCK_V1
Gen-4 Turbo - Same exact uploaded woman_Hard identity lock_Preserve exact face_ age_ facial maturity _2_.png,0.03162,0.678,0.567,BODY_LOCK_V1
