"Capability","Exists","HitCount","WhatsAppPipelineHits","ConsumedByWhatsApp","SamplePath","SampleLine"
"semantic_memory","True","11","0","False",,
"semantic_dialogue_memory","True","1","0","False",,
"memory_graph","True","7","1","True","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\runtime\cognitive_pipeline.py","28"
"decision_memory","True","4","2","True","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\runtime\cognitive_pipeline.py","7"
"social_memory","True","20","1","True","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\runtime\cognitive_pipeline.py","35"
"persistent_social_memory","True","3","0","False",,
"context_recovery","True","1","0","False",,
"contextual_continuity","True","2","0","False",,
"conversation_continuity","True","7","2","True","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\api\whatsapp.py","40"
"hierarchical_planner","True","6","0","False",,
"plan_hierarchy","True","2","0","False",,
"autonomous_cognition","True","9","4","True","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\runtime\cognitive_pipeline.py","33"
"autonomous_planner","True","3","0","False",,
"cognitive_pipeline","True","4","4","True","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\api\whatsapp.py","53"
"whatsapp_intelligence_activation","True","1","1","True","C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\api\whatsapp.py","55"
