"decision","role","score","name","path"
"CANONICAL_SOURCE","ENGINE_SOURCE","180","engine.py","MIND_CANON/CORE/__CORE_CANON/Backend_CANON/mind-fin-pro-backend/app/cognition/hierarchical_planner_step449/engine.py"
"CANONICAL_SOURCE","TEST_EVIDENCE","160","test_step449_hierarchical_planner_step449.py","MIND_CANON/CORE/ABSORBED/MIND_CANON/CORE/__CORE_CANON/Backend_CANON/mind-fin-pro-backend/tests/test_step449_hierarchical_planner_step449.py"
"SUPPORTING_SOURCE","INIT_SOURCE","130","__init__.py","MIND_CANON/CORE/__CORE_CANON/Backend_CANON/mind-fin-pro-backend/app/cognition/hierarchical_planner_step449/__init__.py"
"SUPPORTING_SOURCE","TEST_EVIDENCE","120","test_step449_hierarchical_planner_step449.py","MIND_CANON/CORE/__CORE_CANON/Backend_CANON/mind-fin-pro-backend/tests/test_step449_hierarchical_planner_step449.py"
"SUPPORTING_SOURCE","ENGINE_SOURCE","100","engine.py","MIND_CANON/CORE/__CORE_CANON/Analisados/FRONTENDS_FINAL_ANALISADOS_20260309_161726/RESTO_INBOX__MIND_MEGA_BUNDLE_20260211_185045__app/cognition/hierarchical_planner_step449/engine.py"
"SUPPORTING_SOURCE","TEST_EVIDENCE","90","test_step449_hierarchical_planner_step449.py","MIND_CANON/CORE/CORE_TRUE/MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/services/services/mind-fin-pro-backend/tests/test_step449_hierarchical_planner_step449.py"
"DUPLICATE_OR_QUARANTINE","ENGINE_SOURCE","50","engine.py","MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/mind-platform_CANON_20260222_212148/services/mind-fin-pro-backend/app/cognition/hierarchical_planner_step449/engine.py"
"DUPLICATE_OR_QUARANTINE","ENGINE_SOURCE","50","engine.py","MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/mind-fin-pro-backend (1)/mind-fin-pro-backend/app/cognition/hierarchical_planner_step449/engine.py"
"DUPLICATE_OR_QUARANTINE","ENGINE_SOURCE","50","engine.py","MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/services/services/mind-fin-pro-backend/app/cognition/hierarchical_planner_step449/engine.py"
"DUPLICATE_OR_QUARANTINE","ENGINE_SOURCE","50","engine.py","MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/mind-platform/services/mind-fin-pro-backend/app/cognition/hierarchical_planner_step449/engine.py"
"TEST_EVIDENCE","TEST_EVIDENCE","50","test_step449_hierarchical_planner_step449.py","MIND_CANON/CORE/CORE_CLEAN/MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/mind-fin-pro-backend (1)/mind-fin-pro-backend/tests/test_step449_hierarchical_planner_step449.py"
"DUPLICATE_OR_QUARANTINE","ENGINE_SOURCE","50","engine.py","MIND_CANON/QUARENTENA/_deploy (1)/LEDGER (1)/OPID_CANON_PATCH_AST_BACKUPS_20260202_124132/cognition/hierarchical_planner_step449/engine.py"
"REFERENCE","INIT_SOURCE","50","__init__.py","MIND_CANON/CORE/__CORE_CANON/Analisados/FRONTENDS_FINAL_ANALISADOS_20260309_161726/RESTO_INBOX__MIND_MEGA_BUNDLE_20260211_185045__app/cognition/hierarchical_planner_step449/__init__.py"
"TEST_EVIDENCE","TEST_EVIDENCE","50","test_step449_hierarchical_planner_step449.py","MIND_CANON/CORE/CORE_CLEAN/MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/mind-platform/services/mind-fin-pro-backend/tests/test_step449_hierarchical_planner_step449.py"
"TEST_EVIDENCE","TEST_EVIDENCE","30","test_step449_hierarchical_planner_step449.py","MIND_CANON/CORE/ABSORBED/MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/mind-fin-pro-backend (1)/mind-fin-pro-backend/tests/test_step449_hierarchical_planner_step449.py"
